start,cost,feasible,gap,time_s,assets
0,-0.17996453113127747,True,0.0003577556171643348,5.762727975845337,"['A01', 'A06', 'A09', 'A12']"
1,-0.1620518270658624,True,0.0182704596825794,4.658745288848877,"['A01', 'A06', 'A10', 'A12']"
2,-0.17996453113127747,True,0.0003577556171643348,4.54757285118103,"['A01', 'A06', 'A09', 'A12']"
3,-0.1731590095804194,True,0.007163277168022397,5.174527168273926,"['A01', 'A06', 'A09', 'A11']"
4,-0.17453404302243608,True,0.005788243726005726,5.307467937469482,"['A01', 'A04', 'A06', 'A09']"
5,-0.16113702139285804,True,0.019185265355583764,4.943715810775757,"['A05', 'A06', 'A08', 'A09']"
6,-0.2543152151075052,False,,4.698017835617065,"['A04', 'A05', 'A06', 'A07', 'A08', 'A09', 'A10', 'A11', 'A12']"
7,-0.1803222867484418,True,0.0,4.778963088989258,"['A01', 'A06', 'A08', 'A09']"
