n_qubits,budget_B,brute_force_time_s,brute_force_cost,penalty_used,exact_time_s,exact_feasible,exact_cost,qaoa_time_s,qaoa_feasible,qaoa_cost,qaoa_gap
8,2,0.00021028518676757812,-0.09897922467769808,1.148447540638454,0.013637542724609375,True,-0.09897922467769808,2.4135048389434814,True,-0.09897922467769808,0.0
12,4,0.003286123275756836,-0.16826897443234057,1.753707120852609,0.022737741470336914,True,-0.16826897443234057,5.7386696338653564,False,,
16,5,0.02702021598815918,-0.22931969916791806,1.9186968542674863,0.08090519905090332,True,-0.229319699167918,,,,
